X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13522816.53,4538956.439,43,PG&E,,CEC,SUBSTATION,307115,Lammers,115,95377,CA,San Joaquin County,Unincorporated,-121.4775277,37.71296547,
-13532607.93,4790839.416,44,PG&E,,CEC,SUBSTATION,302814,A.P.T. Oro,,95965,CA,Butte County,Oroville,-121.5654854,39.48122633,
-13545980.72,4774049.068,45,Other,,CEC,SUBSTATION,301839,Gridley,60,95948,CA,Butte County,Gridley,-121.6856152,39.36471316,
-13533642.8,4789851.72,46,Other,,CEC,SUBSTATION,305907,Louisiana Pacific (Oroville),,95965,CA,Butte County,Unincorporated,-121.5747818,39.47437782,
-13407016.7,4115507.988,48,PG&E,,CEC,SUBSTATION,303296,Cabrillo,115,93436,CA,Santa Barbara County,Lompoc,-120.4372802,34.64326979,Cabrillo
-13572030.75,4838508.502,49,Other,,CEC,SUBSTATION,307094,Anita,60,95973,CA,Butte County,Unincorporated,-121.9196266,39.81095374,
-13514539.7,4777355.625,50,PG&E,,CEC,SUBSTATION,302304,Bangor,,95914,CA,Butte County,Unincorporated,-121.4031757,39.38767374,
-13524373.91,4819166.513,51,PG&E,H10,CEC,SUBSTATION,303665,Big Bend,115,95965,CA,Butte County,Unincorporated,-121.4915179,39.67735464,
-13560200.88,4824208.616,52,PG&E,,CEC,SUBSTATION,303732,Butte,115,95928,CA,Butte County,Chico,-121.8133571,39.71220645,
-13561042.85,4825168.622,53,PG&E,,CEC,SUBSTATION,304029,Chico A,,95928,CA,Butte County,Chico,-121.8209206,39.71884016,
-13563954.43,4826134.662,54,PG&E,,CEC,SUBSTATION,308381,Chico B,115,95928,CA,Butte County,Chico,-121.8470758,39.72551493,
-12953960.35,4004355.944,55,IID,,CEC,SUBSTATION,301865,Ramon,,92276,CA,Riverside County,Unincorporated,-116.3674057,33.81774602,
-13555188.89,4809102.14,56,PG&E,,CEC,SUBSTATION,300607,Esquon,115,95938,CA,Butte County,Unincorporated,-121.7683336,39.60773551,
-13582243.51,4829160.649,57,PG&E,,CEC,SUBSTATION,303483,Hamilton A,,95951,CA,Glenn County,Unincorporated,-122.0113693,39.74641854,
-13535929.96,4767696.532,58,PG&E,,CEC,SUBSTATION,310438,Honcut,115,95965,CA,Butte County,Unincorporated,-121.5953277,39.32058027,Honcut
-13503675.21,4804400.215,59,Other,,CEC,SUBSTATION,306312,Kanaka,115,95966,CA,Butte County,Unincorporated,-121.3055783,39.57518648,
-13570630.58,4831162.051,60,PG&E,,CEC,SUBSTATION,305811,Nord,115,95973,CA,Butte County,Unincorporated,-121.9070486,39.7602408,
-13537650.67,4847295.612,61,PG&E,,CEC,SUBSTATION,300584,Oro Fino,,95954,CA,Butte County,Unincorporated,-121.6107851,39.87156253,
-13532014.56,4794124.245,62,PG&E,,CEC,SUBSTATION,300266,Oroville,60,95965,CA,Butte County,Oroville,-121.560155,39.50399795,
-13527284.21,4786962.858,63,PG&E,,CEC,SUBSTATION,307680,Palermo,230,95966,CA,Butte County,Unincorporated,-121.5176615,39.45434305,Palermo
-13538535.14,4831223.183,64,PG&E,,CEC,SUBSTATION,309157,Paradise,,95969,CA,Butte County,Paradise,-121.6187304,39.76066295,
-13545922.76,4775997.187,65,PG&E,,CEC,SUBSTATION,301112,Peachton,,95948,CA,Butte County,Unincorporated,-121.6850945,39.37824172,
-13561388.81,4832395.947,66,PG&E,,CEC,SUBSTATION,303844,Sycamore Creek,115,95973,CA,Butte County,Chico,-121.8240284,39.76876106,
